iter	Passed	Remaining
794	10217	2634
795	10238	2623
796	10264	2614
797	10284	2603
798	10316	2595
799	10334	2583
800	10348	2570
801	10362	2558
802	10368	2543
803	10384	2531
804	10397	2518
805	10406	2504
806	10414	2490
807	10420	2476
808	10427	2461
809	10435	2447
810	10443	2433
811	10449	2419
812	10466	2407
813	10480	2394
814	10500	2383
815	10507	2369
816	10518	2356
817	10529	2342
818	10541	2329
819	10552	2316
820	10586	2308
821	10596	2294
822	10606	2281
823	10627	2269
824	10659	2261
825	10723	2258
826	10731	2244
827	10740	2231
828	10750	2217
829	10755	2202
830	10760	2188
831	10771	2174
832	10776	2160
833	10788	2147
834	10798	2133
835	10805	2119
836	10815	2106
837	10820	2091
838	10825	2077
839	10830	2063
840	10835	2048
841	10839	2033
842	10845	2019
843	10850	2005
844	10853	1990
845	10858	1976
846	10862	1962
847	10867	1947
848	10871	1933
849	10877	1919
850	10881	1905
851	10885	1890
852	10889	1876
853	10893	1862
854	10897	1848
855	10901	1833
856	10906	1819
857	10910	1805
858	10916	1791
859	10971	1785
860	10977	1772
861	10981	1758
862	10985	1743
863	10991	1730
864	10995	1716
865	10999	1701
866	11003	1687
867	11008	1674
868	11012	1660
869	11016	1646
870	11024	1632
871	11029	1619
872	11034	1605
873	11042	1591
874	11061	1580
875	11067	1566
876	11074	1553
877	11079	1539
878	11086	1526
879	11091	1512
880	11095	1498
881	11103	1485
882	11107	1471
883	11112	1458
884	11117	1444
885	11122	1431
886	11126	1417
887	11133	1404
888	11137	1390
889	11141	1377
890	11149	1363
891	11153	1350
892	11156	1336
893	11163	1323
894	11169	1310
895	11173	1296
896	11182	1284
897	11186	1270
898	11190	1257
899	11200	1244
900	11204	1231
901	11211	1218
902	11215	1204
903	11219	1191
904	11225	1178
905	11230	1165
906	11234	1151
907	11239	1138
908	11244	1125
909	11248	1112
910	11261	1100
911	11266	1087
912	11273	1074
913	11280	1061
914	11284	1048
915	11291	1035
916	11296	1022
917	11300	1009
918	11309	996
919	11313	983
920	11321	971
921	11328	958
922	11332	945
923	11341	932
924	11345	919
925	11349	906
926	11356	894
927	11360	881
928	11364	868
929	11371	855
930	11375	843
931	11380	830
932	11389	817
933	11392	805
934	11396	792
935	11405	779
936	11408	767
937	11412	754
938	11418	741
939	11421	729
940	11425	716
941	11429	703
942	11433	691
943	11437	678
944	11440	665
945	11444	653
946	11448	640
947	11451	628
948	11454	615
949	11459	603
950	11465	590
951	11469	578
952	11474	565
953	11481	553
954	11485	541
955	11489	528
956	11496	516
957	11500	504
958	11504	491
959	11511	479
960	11515	467
961	11519	455
962	11524	442
963	11529	430
964	11533	418
965	11536	406
966	11545	393
967	11548	381
968	11552	369
969	11558	357
970	11564	345
971	11568	333
972	11574	321
973	11580	309
974	11583	297
975	11588	284
976	11597	273
977	11601	260
978	11611	249
979	11615	237
980	11620	225
981	11628	213
982	11632	201
983	11639	189
984	11645	177
985	11648	165
986	11657	153
987	11661	141
988	11664	129
989	11670	117
990	11674	106
991	11678	94
992	11683	82
993	11689	70
994	11694	58
995	11699	46
996	11704	35
997	11708	23
998	11712	11
999	11718	0
